0, 7, 4620, 0.151515
10, 0, 1691, 0.000000
20, 8, 2880, 0.277778
30, 23, 2259, 1.018150
40, 6, 2701, 0.222140
50, 12, 2123, 0.565238
60, 6, 1158, 0.518135
70, 8, 2309, 0.346470
80, 24, 1946, 1.233299
90, 0, 2837, 0.000000
100, 24, 2801, 0.856837
110, 29, 6337, 0.457630
120, 25, 3520, 0.710227
130, 21, 4174, 0.503115
140, 34, 3947, 0.861414
150, 33, 5980, 0.551839
160, 9, 7267, 0.123848
170, 12, 7376, 0.162690
180, 14, 1393, 1.005025
190, 8, 3866, 0.206932
200, 22, 1931, 1.139306
210, 5, 842, 0.593824
220, 25, 715, 3.496503
230, 2, 1060, 0.188679
240, 23, 1529, 1.504251
250, 0, 629, 0.000000
260, 13, 879, 1.478953
270, 14, 857, 1.633606
280, 8, 1227, 0.651997
290, 3, 598, 0.501672
300, 0, 392, 0.000000
310, 15, 1588, 0.944584
320, 29, 2342, 1.238258
330, 27, 2461, 1.097115
340, 11, 1266, 0.868878
350, 0, 452, 0.000000
360, 1, 4681, 0.021363
370, 3, 240, 1.250000
380, 0, 1073, 0.000000
390, 1, 817, 0.122399
400, 0, 914, 0.000000
410, 0, 332, 0.000000
420, 0, 20, 0.000000
430, 1, 1263, 0.079177
440, 41, 1822, 2.250274
450, 22, 2618, 0.840336
460, 2, 509, 0.392927
470, 0, 10, 0.000000
480, 0, 25, 0.000000
490, 0, 1689, 0.000000
500, 6, 1060, 0.566038
510, 0, 174, 0.000000
520, 34, 4741, 0.717148
530, 9, 10015, 0.089865
540, 21, 2575, 0.815534
550, 295, 6279, 4.698200
560, 372, 6196, 6.003873
570, 240, 6254, 3.837544
580, 7, 1271, 0.550747
590, 46, 2457, 1.872202
600, 6, 1166, 0.514580
610, 4, 583, 0.686106
620, 1, 632, 0.158228
630, 6, 1695, 0.353982
640, 11, 1372, 0.801749
650, 5, 1270, 0.393701
660, 0, 35, 0.000000
670, 0, 1268, 0.000000
680, 0, 30, 0.000000
690, 0, 185, 0.000000
700, 12, 1846, 0.650054
710, 10, 1435, 0.696864
720, 2, 1173, 0.170503
730, 4, 1130, 0.353982
740, 2, 1373, 0.145666
750, 8, 677, 1.181684
760, 21, 739, 2.841678
770, 7, 1227, 0.570497
780, 32, 1454, 2.200825
790, 9, 1245, 0.722892
800, 8, 1727, 0.463231
810, 30, 2352, 1.275510
820, 13, 1655, 0.785498
830, 6, 1506, 0.398406
840, 11, 1023, 1.075269
850, 0, 54, 0.000000
